modelname,language,task,granularity,seed,f1,accuracy,mae,r2,f1_EN,accuracy_EN,mae_EN,r2_EN,f1_NL,accuracy_NL,mae_NL,r2_NL,f1_IT,accuracy_IT,mae_IT,r2_IT
mdeberta-v3-base,EN-IT,regression,5,69,0.7131572333699291,0.7333333333333333,1.0769896364521458,0.1014160499590431,0.6904400714865433,0.7139874739039666,1.1581890533497414,0.067202007373868,,,,,0.7389429897040167,0.7545871559633027,0.9877820335619084,0.1426842772519777
xlm-roberta-base,EN-IT,regression,5,69,0.729539762579149,0.7437158469945355,1.0977586187012596,0.10592873101017,0.7027156025861991,0.7192066805845512,1.199975557241658,0.0343584424854693,,,,,0.7597241031202536,0.7706422018348624,0.985460645955087,0.1993745083557586
bert-base-multilingual-cased,EN-IT,regression,5,69,0.6727871613037207,0.7065573770491803,1.219717758094836,0.0305475656117232,0.6418302748680003,0.675365344467641,1.3501769591191888,-0.0773974660458307,,,,,0.7076035523154215,0.7408256880733946,1.0763921714668192,0.1742237096928945
twitter-xlm-roberta-base,EN-IT,regression,5,69,0.7363408506901404,0.7497267759562841,1.06054971031781,0.1313049048045274,0.7123277598342243,0.7296450939457203,1.1388469934392411,0.0799188579270095,,,,,0.7633209080671328,0.7717889908256881,0.974530438183438,0.1967591375741106
deberta-v3-base,EN-IT,regression,5,7,0.75528985694749,0.7699453551912568,0.9457099563803664,0.2318056777347138,0.7522947069994295,0.7661795407098121,0.9717424875320024,0.2398563319301558,,,,,0.7590295962989319,0.7740825688073395,0.917109998090432,0.2150191794724093
roberta-base,EN-IT,regression,5,7,0.7363954157995836,0.7491803278688525,1.084678561920415,0.1105650815055634,0.7413881333663448,0.7505219206680585,1.0860115647965984,0.1212068522375111,,,,,0.7296506894891833,0.7477064220183486,1.0832140978507578,0.0892859605352295
bert-base-cased,EN-IT,regression,5,7,0.6839174126846407,0.7147540983606557,1.1829077480659855,0.034631873746357,0.649854707126574,0.68580375782881,1.2728729463237802,-0.0056915301399531,,,,,0.7221064748801914,0.7465596330275229,1.084069820972418,0.0839456847438235
bertweet-base,EN-IT,regression,5,7,0.7231194928885245,0.7448087431693989,1.0806776274590435,0.1573357361049573,0.7491411368243636,0.7640918580375783,0.9769925709633012,0.292232561294819,,,,,0.6915170148146785,0.7236238532110092,1.1945884934146709,-0.0370510000705219
twitter-roberta-base,EN-IT,regression,5,7,0.7314590721372343,0.753551912568306,1.0350565122282611,0.1665665310643398,0.7398508073134892,0.7567849686847599,1.013223273851685,0.2073482903030369,,,,,0.7206322648820007,0.75,1.0590430278963148,0.1036200334848822
mdeberta-v3-base,EN-IT,regression,5,7,0.6914985860057313,0.7256830601092896,1.0927865504719447,0.1151007831358804,0.6594548604139905,0.7004175365344467,1.1986593259171894,0.0745550915088629,,,,,0.7272876927401063,0.7534403669724771,0.9764722383879416,0.1653060934853154
xlm-roberta-base,EN-IT,regression,5,7,0.6424255743711905,0.7038251366120218,1.235134266080752,0.1500216927817365,0.5690836141021404,0.6544885177453027,1.3833463339131162,0.0790169075723218,,,,,0.719518943370944,0.7580275229357798,1.0723049551453612,0.242996562341065
bert-base-multilingual-cased,EN-IT,regression,5,7,0.676177072527208,0.7147540983606557,1.157077980120959,0.0329406978438467,0.6420747056321092,0.6816283924843424,1.268782419882827,-0.0424640897248544,,,,,0.7146048743193214,0.7511467889908257,1.034356822558172,0.1312117729436158
twitter-xlm-roberta-base,EN-IT,regression,5,7,0.7354251311505847,0.7480874316939891,1.04188766965752,0.136394040213982,0.7289045882580768,0.744258872651357,1.0887423644269114,0.1256845471534395,,,,,0.7436698501884402,0.7522935779816514,0.9904119854596968,0.1451053389314424
deberta-v3-base,EN-IT,regression,5,666,0.7383479566639003,0.7595628415300546,0.952431211358587,0.2192508670732371,0.7363401520068706,0.7578288100208769,0.9708221349647376,0.2511019708884384,,,,,0.7414078500687372,0.7614678899082569,0.9322265007768368,0.1691510563822222
roberta-base,EN-IT,regression,5,666,0.7079418593910041,0.7404371584699454,1.0833678088409593,0.1065458668298695,0.7121960972413673,0.7348643006263048,1.1122686177585135,0.0990310656551932,,,,,0.6985709274920775,0.7465596330275229,1.0516166936109137,0.1105821568219196
bert-base-cased,EN-IT,regression,5,666,0.6671361854073562,0.7071038251366121,1.189571950138296,0.0624518583064706,0.6242539523320477,0.673277661795407,1.2968681355966751,-0.0016076766230725,,,,,0.714557237774578,0.7442660550458715,1.0716938000510008,0.145099460032968
bertweet-base,EN-IT,regression,5,666,0.7202351039938943,0.7497267759562841,1.0635285751026409,0.1609731138395996,0.7403314085285483,0.7609603340292276,1.0136195132627963,0.2382282529297449,,,,,0.6939106023951053,0.7373853211009175,1.1183598608971006,0.0470736592811152
twitter-roberta-base,EN-IT,regression,5,666,0.7419193645331228,0.7551912568306011,1.0058225559561813,0.1773724436846162,0.7616141011563918,0.7734864300626305,0.9405871139360384,0.2450300004189911,,,,,0.7208792642619014,0.7350917431192661,1.0774917691682893,0.076988545389965
mdeberta-v3-base,EN-IT,regression,5,666,0.716660159313624,0.7360655737704918,1.0782568494316962,0.0759721022435316,0.7076990612836447,0.7244258872651357,1.132932630514372,0.0701426860733592,,,,,0.7263459802581981,0.7488532110091743,1.01818867231453,0.0774350152126257
xlm-roberta-base,EN-IT,regression,5,666,0.6628016807717346,0.7081967213114754,1.1388385989065817,0.1645652500409897,0.6131026927425802,0.6701461377870563,1.257403035570395,0.1059342820913723,,,,,0.7172620158743196,0.75,1.0085808775863512,0.2403727927343546
bert-base-multilingual-cased,EN-IT,regression,5,666,0.6842094668738762,0.7169398907103826,1.1631783646521223,0.066300952596279,0.6419942260379475,0.6847599164926931,1.3003636883423004,-0.0287041472269033,,,,,0.7303717274558067,0.7522935779816514,1.0124632970727938,0.1921727240544735
twitter-xlm-roberta-base,EN-IT,regression,5,666,0.7382066525793232,0.7508196721311475,1.0499809375384097,0.1504722120115383,0.7180612776698599,0.7348643006263048,1.1148688591693945,0.1277108753866506,,,,,0.7609747947851281,0.768348623853211,0.9786935277900848,0.1761081452173373
